MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Bsmt Full Bath,Full Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Screen Porch,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
20,RL,68.0,10750,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,1994,1995,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,634.0,Gd,TA,PConc,Gd,TA,Av,BLQ,236.0,GLQ,262.0,GasA,Ex,Y,SBrkr,2063,0,1.0,2,3,Gd,7,Typ,2,Gd,Attchd,1994.0,Fin,815.0,TA,TA,Y,182,56,0,6,2009,WD ,Normal,315000
60,RL,90.0,9900,Pave,Reg,Low,AllPub,Inside,Mod,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,256.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,987.0,Unf,360.0,GasA,Ex,Y,SBrkr,1372,1274,1.0,2,4,Gd,9,Typ,1,TA,Attchd,1993.0,RFn,656.0,TA,TA,Y,340,60,0,4,2009,WD ,Normal,260000
60,RL,79.0,9085,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,286.0,Gd,TA,PConc,Gd,TA,No,GLQ,816.0,Unf,254.0,GasA,Ex,Y,SBrkr,1094,967,1.0,2,3,Gd,7,Typ,1,TA,Attchd,1995.0,Fin,647.0,TA,TA,Y,296,102,0,11,2009,WD ,Normal,260000
60,RL,68.0,11692,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,372.0,Gd,TA,PConc,Gd,TA,No,GLQ,624.0,Unf,549.0,GasA,Ex,Y,SBrkr,1215,1017,1.0,2,3,Gd,8,Typ,1,TA,Attchd,1993.0,RFn,623.0,TA,TA,Y,173,165,0,10,2009,WD ,Normal,263550
60,RL,52.0,46589,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1994,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,528.0,Gd,TA,PConc,Gd,Gd,No,GLQ,1361.0,Rec,88.0,GasA,Ex,Y,SBrkr,1686,762,1.0,2,4,Gd,8,Typ,1,TA,Attchd,1994.0,RFn,711.0,TA,TA,Y,517,76,0,7,2009,WD ,Normal,402000
60,RL,68.0,29959,Pave,IR2,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,6,1994,1994,Gable,CompShg,HdBoard,HdBoard,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,595.0,Unf,378.0,GasA,Ex,Y,SBrkr,979,871,0.0,2,3,Gd,7,Typ,1,Gd,BuiltIn,1994.0,Fin,467.0,TA,TA,Y,168,98,0,1,2009,WD ,Normal,248000
20,RL,74.0,9612,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1468.0,GasA,Ex,Y,SBrkr,1468,0,0.0,2,3,Gd,6,Typ,1,Gd,Attchd,2008.0,Fin,898.0,TA,TA,Y,210,150,0,12,2009,New,Partial,244600
20,RL,86.0,11194,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,PosN,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,240.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,1696.0,GasA,Ex,Y,SBrkr,1696,0,0.0,2,3,Gd,7,Typ,0,Missing,Attchd,2008.0,RFn,972.0,TA,TA,Y,120,56,0,9,2009,WD ,Normal,275000
20,RL,78.0,10206,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,PosN,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,294.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1614.0,GasA,Ex,Y,SBrkr,1658,0,0.0,2,3,Gd,7,Typ,1,Gd,Attchd,2008.0,Fin,726.0,TA,TA,Y,144,44,0,9,2009,WD ,Normal,257500
20,RL,78.0,9262,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2009,Gable,CompShg,CemntBd,CmentBd,Stone,194.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1573.0,GasA,Ex,Y,SBrkr,1578,0,0.0,2,3,Ex,7,Typ,1,Gd,Attchd,2008.0,Fin,840.0,TA,TA,Y,0,36,0,5,2009,New,Partial,287090
20,RL,85.0,10130,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,260.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1294.0,Unf,408.0,GasA,Ex,Y,SBrkr,1702,0,1.0,2,3,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,844.0,TA,TA,Y,0,69,0,3,2009,WD ,Normal,275500
20,RL,76.0,9139,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Stone,206.0,Gd,TA,PConc,Ex,TA,Av,GLQ,379.0,Unf,1043.0,GasA,Ex,Y,SBrkr,1432,0,0.0,2,3,Gd,7,Typ,1,Gd,Attchd,2006.0,Fin,492.0,TA,TA,Y,297,50,0,9,2009,WD ,Normal,245000
60,RL,75.0,9675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,341.0,Unf,772.0,GasA,Ex,Y,SBrkr,1113,858,0.0,2,3,Gd,8,Typ,1,Gd,Attchd,2005.0,RFn,689.0,TA,TA,Y,0,48,0,2,2009,WD ,Normal,253000
20,RL,85.0,11128,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,PosN,PosN,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,Stone,198.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,2158.0,Unf,300.0,GasA,Ex,Y,SBrkr,2490,0,1.0,2,2,Ex,9,Typ,2,Gd,Attchd,2005.0,Fin,795.0,TA,TA,Y,70,226,0,10,2009,WD ,Normal,468000
60,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,PConc,Gd,TA,No,GLQ,822.0,Unf,78.0,GasA,Ex,Y,SBrkr,932,920,1.0,2,3,Gd,7,Typ,1,TA,Attchd,2009.0,RFn,644.0,TA,TA,Y,168,108,0,7,2009,New,Partial,252678
60,FV,75.0,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,768.0,GasA,Ex,Y,SBrkr,786,804,0.0,2,3,Gd,6,Typ,0,Missing,Attchd,2008.0,RFn,676.0,TA,TA,Y,0,30,0,6,2009,WD ,Normal,210000
20,FV,75.0,7862,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,27.0,Unf,1191.0,GasA,Ex,Y,SBrkr,1218,0,0.0,2,2,Gd,4,Typ,0,Missing,Attchd,2009.0,Fin,676.0,TA,TA,Y,0,102,0,9,2009,New,Partial,208300
20,FV,90.0,7993,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,1436.0,GasA,Ex,Y,SBrkr,1436,0,0.0,2,3,Gd,6,Typ,0,Missing,Attchd,2008.0,Fin,529.0,TA,TA,Y,0,121,0,10,2009,New,Partial,225000
20,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,72.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,936.0,Unf,364.0,GasA,Ex,Y,SBrkr,1314,0,1.0,2,3,Gd,6,Typ,0,Missing,Attchd,2009.0,RFn,552.0,TA,TA,Y,135,112,0,9,2009,New,Partial,229456
20,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1402.0,GasA,Ex,Y,SBrkr,1402,0,0.0,2,3,Gd,7,Typ,0,Missing,Attchd,2008.0,RFn,625.0,TA,TA,Y,205,126,0,5,2009,WD ,Normal,229800
20,FV,112.0,12606,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,9,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,120.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,1530.0,GasA,Ex,Y,SBrkr,1530,0,0.0,2,3,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,984.0,TA,TA,Y,212,136,0,5,2009,WD ,Normal,250000
20,FV,85.0,9187,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,9,5,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,162.0,Ex,TA,PConc,Ex,TA,Mn,GLQ,1121.0,Unf,645.0,GasA,Ex,Y,SBrkr,1766,0,1.0,2,2,Ex,7,Typ,1,Gd,Attchd,2009.0,Fin,478.0,TA,TA,Y,195,130,0,10,2009,New,Partial,370878
20,FV,75.0,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,238.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,1348.0,GasA,Ex,Y,SBrkr,1448,0,0.0,2,2,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,692.0,TA,TA,Y,0,140,0,6,2009,WD ,Normal,238500
60,FV,85.0,11003,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,10,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,160.0,Ex,TA,PConc,Ex,TA,Av,GLQ,765.0,Unf,252.0,GasA,Ex,Y,SBrkr,1026,981,1.0,2,3,Ex,10,Typ,1,Ex,Attchd,2008.0,Fin,812.0,TA,TA,Y,168,52,0,4,2009,WD ,Normal,310000
60,FV,84.0,10603,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Stone,121.0,Gd,TA,PConc,Ex,Gd,No,GLQ,682.0,Unf,218.0,GasA,Ex,Y,SBrkr,909,886,1.0,2,3,Gd,8,Typ,1,Gd,Attchd,2006.0,Fin,782.0,TA,TA,Y,168,45,0,7,2009,WD ,Normal,270000
60,FV,85.0,10574,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,1082.0,GasA,Ex,Y,SBrkr,1082,871,0.0,2,3,Gd,9,Typ,1,Gd,Attchd,2005.0,RFn,1043.0,TA,TA,Y,160,50,0,5,2009,WD ,Normal,252000
60,FV,65.0,8125,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,Stone,100.0,Gd,TA,PConc,Gd,TA,No,GLQ,812.0,Unf,280.0,GasA,Ex,Y,SBrkr,1112,438,1.0,2,2,Gd,7,Typ,0,Missing,Attchd,2007.0,Fin,438.0,TA,TA,Y,0,168,0,10,2009,WD ,Normal,241000
20,FV,65.0,8125,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,BrkFace,288.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1836.0,GasA,Ex,Y,SBrkr,1836,0,0.0,2,3,Gd,8,Typ,1,Gd,Attchd,2009.0,Fin,517.0,TA,TA,Y,0,175,0,10,2009,New,Partial,264500
20,FV,85.0,10625,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1430.0,Unf,222.0,GasA,Ex,Y,SBrkr,1662,0,1.0,2,3,Ex,8,Typ,1,Gd,Attchd,2006.0,RFn,711.0,TA,TA,Y,168,120,0,3,2009,WD ,Normal,291000
60,FV,75.0,9375,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,912.0,GasA,Ex,Y,SBrkr,912,1182,0.0,2,4,Gd,8,Typ,1,Gd,BuiltIn,2003.0,Fin,615.0,TA,TA,Y,182,182,0,11,2009,WD ,Normal,263000
20,FV,62.0,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,410.0,Unf,811.0,GasA,Ex,Y,SBrkr,1221,0,1.0,2,2,Gd,6,Typ,0,Missing,Attchd,2004.0,RFn,400.0,TA,TA,Y,0,113,0,10,2009,WD ,Normal,185000
20,FV,68.0,8736,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,771.0,ALQ,422.0,GasA,Ex,Y,SBrkr,1553,0,1.0,2,3,Gd,6,Typ,0,Missing,Attchd,2003.0,RFn,588.0,TA,TA,Y,192,88,0,8,2009,WD ,Normal,234500
60,FV,65.0,8127,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,410.0,Unf,402.0,GasA,Ex,Y,SBrkr,812,841,1.0,2,3,Gd,6,Typ,0,Missing,Attchd,2003.0,RFn,628.0,TA,TA,Y,0,45,0,3,2009,WD ,Normal,209000
20,RL,80.0,9605,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1218.0,GasA,Ex,Y,SBrkr,1218,0,0.0,1,3,Gd,6,Typ,0,Missing,Detchd,2007.0,RFn,576.0,TA,TA,Y,0,178,0,4,2009,WD ,Normal,159000
20,RL,63.0,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,Gd,No,GLQ,54.0,Unf,1087.0,GasA,Ex,Y,SBrkr,1141,0,1.0,1,3,Gd,6,Typ,0,Missing,Detchd,2006.0,RFn,484.0,TA,TA,Y,182,0,0,6,2009,WD ,Normal,152000
20,RL,63.0,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1158.0,GasA,Ex,Y,SBrkr,1158,0,0.0,1,3,Gd,5,Typ,0,Missing,Missing,1979.0,Missing,0.0,Missing,Missing,Y,0,50,0,8,2009,WD ,Normal,143500
60,RL,96.0,10628,Pave,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,835.0,GasA,Ex,Y,SBrkr,871,941,0.0,2,3,Gd,8,Typ,0,Missing,BuiltIn,2004.0,RFn,478.0,TA,TA,Y,146,91,0,1,2009,WD ,Normal,193000
20,RL,76.0,10141,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,8,5,2004,2004,Gable,Tar&Grv,VinylSd,VinylSd,BrkFace,264.0,Gd,TA,PConc,Gd,TA,Gd,BLQ,516.0,Rec,222.0,GasA,Ex,Y,SBrkr,1512,0,0.0,2,3,Gd,6,Typ,0,Missing,Attchd,2004.0,RFn,845.0,TA,TA,Y,210,36,0,1,2009,WD ,Normal,203000
20,RL,67.0,10083,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,833.0,Unf,343.0,GasA,Ex,Y,SBrkr,1200,0,1.0,2,2,Gd,5,Typ,0,Missing,Attchd,2003.0,RFn,555.0,TA,TA,Y,0,41,0,8,2009,WD ,Normal,184900
20,RL,63.0,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1114.0,GasA,Ex,Y,SBrkr,1114,0,0.0,1,3,Gd,6,Typ,0,Missing,Detchd,2005.0,Unf,576.0,TA,TA,Y,248,102,0,5,2009,WD ,Normal,159000
20,RL,63.0,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1114.0,GasA,Ex,Y,SBrkr,1114,0,0.0,1,3,Gd,6,Typ,0,Missing,Missing,1979.0,Missing,0.0,Missing,Missing,Y,0,39,0,8,2009,WD ,Normal,142000
20,RL,60.0,12450,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,PConc,Gd,TA,No,GLQ,836.0,Unf,278.0,GasA,Ex,Y,SBrkr,1114,0,1.0,2,3,Gd,6,Typ,0,Missing,Detchd,2004.0,Unf,576.0,TA,TA,Y,0,42,0,6,2009,WD ,Normal,153000
20,RL,61.0,7328,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,140.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1450.0,GasA,Ex,Y,SBrkr,1450,0,0.0,2,2,Gd,6,Typ,0,Missing,Attchd,2008.0,RFn,788.0,TA,TA,Y,0,93,0,2,2009,New,Partial,224243
60,RL,43.0,11492,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,276.0,GasA,Ex,Y,SBrkr,913,1209,1.0,2,4,Gd,8,Typ,1,TA,Attchd,1997.0,RFn,559.0,TA,TA,Y,0,74,0,4,2009,WD ,Normal,220000
20,RL,88.0,10994,Pave,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,366.0,Gd,TA,PConc,Gd,Gd,No,GLQ,976.0,Unf,868.0,GasA,Ex,Y,SBrkr,1844,0,1.0,2,2,Gd,7,Typ,1,Gd,Attchd,2005.0,Fin,620.0,TA,TA,Y,165,44,0,9,2009,COD,Abnorml,257000
20,RL,65.0,8529,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,20.0,Unf,1434.0,GasA,Ex,Y,SBrkr,1434,0,0.0,2,3,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,527.0,TA,TA,Y,290,39,0,4,2009,WD ,Normal,189000
60,RL,70.0,7703,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,Missing,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,52.0,Rec,400.0,GasA,Ex,Y,SBrkr,833,897,0.0,2,3,Gd,6,Typ,0,Missing,Attchd,1992.0,RFn,528.0,TA,TA,Y,0,91,168,11,2009,WD ,Normal,171500
160,RL,75.0,10762,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,Missing,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,626.0,GasA,TA,Y,SBrkr,626,591,0.0,1,3,TA,6,Typ,1,TA,Attchd,1980.0,RFn,288.0,TA,TA,Y,0,28,0,4,2009,WD ,Normal,120000
120,RL,50.0,7175,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1990,1991,Gable,CompShg,Plywood,ImStucc,Missing,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1332.0,GasA,Gd,Y,SBrkr,1332,0,0.0,2,2,Gd,5,Typ,0,Missing,Attchd,1990.0,RFn,542.0,TA,TA,Y,0,60,0,2,2009,WD ,Normal,145000
60,RL,70.0,9109,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,2Story,7,5,1994,1994,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,LwQ,36.0,GLQ,122.0,GasA,Ex,Y,SBrkr,754,786,1.0,2,3,Gd,6,Typ,0,Missing,Attchd,1994.0,RFn,495.0,TA,TA,Y,140,32,0,10,2009,WD ,Normal,184000
60,RL,68.0,10274,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,7,1986,1986,Gable,CompShg,VinylSd,VinylSd,BrkFace,141.0,TA,Gd,CBlock,Gd,TA,No,Rec,331.0,Unf,345.0,GasA,TA,Y,SBrkr,698,702,0.0,2,3,TA,6,Typ,0,Missing,Attchd,1986.0,RFn,465.0,TA,TA,Y,0,48,0,7,2009,WD ,Normal,162000
90,RL,75.0,8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,2Story,6,7,1981,1981,Gable,CompShg,Wd Sdng,Wd Shng,Missing,0.0,TA,TA,Slab,Missing,Missing,Missing,Missing,0.0,Missing,0.0,GasA,TA,Y,SBrkr,964,918,0.0,2,4,TA,8,Typ,2,TA,Attchd,1981.0,Unf,612.0,TA,TA,Y,0,0,0,5,2009,WD ,Normal,160000
20,RH,60.0,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,Missing,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,Unf,721.0,GasA,Gd,Y,SBrkr,841,0,0.0,1,2,TA,4,Typ,0,Missing,CarPort,1950.0,Unf,294.0,TA,TA,N,250,0,0,9,2009,WD ,Normal,82000
45,RH,60.0,9000,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Missing,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,0.0,Unf,784.0,GasA,TA,N,FuseA,784,0,0.0,1,2,TA,5,Typ,0,Missing,Detchd,1950.0,Unf,360.0,Fa,Fa,N,0,0,0,10,2009,WD ,Normal,76000
20,RL,63.0,9750,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,HdBoard,Plywood,Missing,0.0,TA,TA,CBlock,TA,TA,No,LwQ,68.0,BLQ,28.0,GasA,Gd,Y,SBrkr,980,0,1.0,1,3,TA,5,Typ,0,Missing,Detchd,1969.0,Unf,400.0,TA,TA,Y,0,28,0,11,2009,WD ,Normal,110000
20,RL,71.0,7064,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,153.0,TA,TA,CBlock,TA,TA,No,BLQ,560.0,Unf,420.0,GasA,TA,Y,SBrkr,980,0,0.0,1,3,TA,6,Typ,0,Missing,Detchd,1986.0,Unf,484.0,TA,TA,Y,192,0,0,7,2009,WD ,Normal,135000
20,RL,68.0,8499,Pave,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,MetalSd,MetalSd,Missing,0.0,TA,TA,CBlock,TA,TA,No,GLQ,660.0,Unf,204.0,GasA,Ex,Y,SBrkr,864,0,1.0,1,3,TA,5,Typ,0,Missing,Detchd,1982.0,Unf,732.0,TA,TA,Y,0,312,0,6,2009,WD ,Normal,141000
20,RL,68.0,9079,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1961,1961,Gable,CompShg,Wd Sdng,Plywood,Missing,0.0,TA,TA,CBlock,TA,TA,No,BLQ,864.0,Unf,0.0,GasA,TA,Y,SBrkr,864,0,0.0,1,2,TA,5,Typ,0,Missing,Attchd,1961.0,Unf,440.0,TA,TA,Y,158,0,0,7,2009,WD ,Normal,122000
